806, 371
816, 366
826, 365
836, 366
846, 366
856, 365
866, 365
876, 365
886, 365
896, 365
906, 364
916, 364
926, 364
936, 363
946, 363
956, 363
966, 363
976, 362
986, 362
996, 362
1006, 362
1016, 363
1026, 363
1036, 363
1046, 363
1056, 364
1066, 364
1076, 365
1086, 365
1096, 366
1106, 366
1116, 368
1126, 367
1136, 367
1146, 366
1156, 364
1166, 362
1176, 360
1186, 359
1196, 358
1206, 357
1216, 356
1226, 355
1236, 355
1246, 355
1256, 355
1266, 354
1276, 354
1286, 353
1296, 353
1306, 354
1316, 355
1326, 358
1336, 361
1346, 366
1356, 371
1366, 378
1376, 385
1386, 393
1396, 402
1406, 413
1416, 422
1426, 431
1436, 442
1446, 456
1456, 486
1466, 567
